snapshot_id,match_id,tour,match_date,tournament,round,surface,best_of,player1_name,player2_name,point_index,sets_1,sets_2,games_1,games_2,points_1,points_2,server,p1_service_points_won_before,p1_service_points_played_before,p2_service_points_won_before,p2_service_points_played_before,label_player1_win_match
20150105-M-Doha-R32-Rafael_Nadal-Michael_Berrer::1,20150105-M-Doha-R32-Rafael_Nadal-Michael_Berrer,atp,2015-01-05,Doha,R32,Hard,3,Rafael Nadal,Michael Berrer,1,0,0,0,0,0,0,A,0,0,0,0,0
20150105-M-Doha-R32-Rafael_Nadal-Michael_Berrer::2,20150105-M-Doha-R32-Rafael_Nadal-Michael_Berrer,atp,2015-01-05,Doha,R32,Hard,3,Rafael Nadal,Michael Berrer,2,0,0,0,0,15,0,A,1,1,0,0,0
20150105-M-Doha-R32-Rafael_Nadal-Michael_Berrer::3,20150105-M-Doha-R32-Rafael_Nadal-Michael_Berrer,atp,2015-01-05,Doha,R32,Hard,3,Rafael Nadal,Michael Berrer,3,0,0,0,0,30,0,A,2,2,0,0,0
20150105-M-Doha-R32-Rafael_Nadal-Michael_Berrer::4,20150105-M-Doha-R32-Rafael_Nadal-Michael_Berrer,atp,2015-01-05,Doha,R32,Hard,3,Rafael Nadal,Michael Berrer,4,0,0,0,0,40,0,A,3,3,0,0,0
20150105-M-Doha-R32-Rafael_Nadal-Michael_Berrer::5,20150105-M-Doha-R32-Rafael_Nadal-Michael_Berrer,atp,2015-01-05,Doha,R32,Hard,3,Rafael Nadal,Michael Berrer,5,0,0,1,0,0,0,B,4,4,0,0,0
20150105-M-Doha-R32-Rafael_Nadal-Michael_Berrer::6,20150105-M-Doha-R32-Rafael_Nadal-Michael_Berrer,atp,2015-01-05,Doha,R32,Hard,3,Rafael Nadal,Michael Berrer,6,0,0,1,0,15,0,B,4,4,0,1,0
20150105-M-Doha-R32-Rafael_Nadal-Michael_Berrer::7,20150105-M-Doha-R32-Rafael_Nadal-Michael_Berrer,atp,2015-01-05,Doha,R32,Hard,3,Rafael Nadal,Michael Berrer,7,0,0,1,0,30,0,B,4,4,0,2,0
20150105-M-Doha-R32-Rafael_Nadal-Michael_Berrer::8,20150105-M-Doha-R32-Rafael_Nadal-Michael_Berrer,atp,2015-01-05,Doha,R32,Hard,3,Rafael Nadal,Michael Berrer,8,0,0,1,0,40,0,B,4,4,0,3,0
20150105-M-Doha-R32-Rafael_Nadal-Michael_Berrer::9,20150105-M-Doha-R32-Rafael_Nadal-Michael_Berrer,atp,2015-01-05,Doha,R32,Hard,3,Rafael Nadal,Michael Berrer,9,0,0,1,0,40,15,B,4,4,1,4,0
20150105-M-Doha-R32-Rafael_Nadal-Michael_Berrer::10,20150105-M-Doha-R32-Rafael_Nadal-Michael_Berrer,atp,2015-01-05,Doha,R32,Hard,3,Rafael Nadal,Michael Berrer,10,0,0,1,0,40,30,B,4,4,2,5,0
