tour,source,surface,branch,model,test_ll_without_markov,test_ll_with_markov,improvement,noise_floor_std,row_improves_by_noise,row_regresses_by_noise,row_result
atp,sackmann,Hard,atp/sackmann/Hard,logit_baseline,0.6029858874710825,0.6033963509621705,-0.00041046349108797564,0.0,False,True,regress>noise
atp,sackmann,Hard,atp/sackmann/Hard,xgb_baseline,0.6036707614206577,0.6006380542248486,0.003032707195809059,0.019183301,False,False,within_noise
atp,sackmann,Clay,atp/sackmann/Clay,logit_baseline,0.6157798721916837,0.6152254767557801,0.0005543954359036318,0.0,True,False,improve>=noise
atp,sackmann,Clay,atp/sackmann/Clay,xgb_baseline,0.6215344959827843,0.6151212863693409,0.0064132096134433825,0.001308099,True,False,improve>=noise
atp,sackmann,Grass,atp/sackmann/Grass,logit_baseline,0.585440603795285,0.5845880953037457,0.0008525084915392833,0.0,True,False,improve>=noise
atp,sackmann,Grass,atp/sackmann/Grass,xgb_baseline,0.5864223124643225,0.5862269226441748,0.00019538982014777329,0.003930921,False,False,within_noise
atp,tml,Hard,atp/tml/Hard,logit_baseline,0.6023667821331408,0.6029967964104015,-0.0006300142772607265,0.0,False,True,regress>noise
atp,tml,Hard,atp/tml/Hard,xgb_baseline,0.6055914696439592,0.6033890049823412,0.0022024646616179977,0.015478161,False,False,within_noise
atp,tml,Clay,atp/tml/Clay,logit_baseline,0.6166208325301786,0.6162768319332228,0.0003440005969558291,0.0,True,False,improve>=noise
atp,tml,Clay,atp/tml/Clay,xgb_baseline,0.6207292496602377,0.6200287720517527,0.0007004776084850173,0.003921077,False,False,within_noise
atp,tml,Grass,atp/tml/Grass,logit_baseline,0.5786880099262133,0.577423900774163,0.00126410915205033,0.0,True,False,improve>=noise
atp,tml,Grass,atp/tml/Grass,xgb_baseline,0.5882298693933868,0.5846436879691772,0.0035861814242096335,0.001498429,True,False,improve>=noise
wta,sackmann,Hard,wta/sackmann/Hard,logit_baseline,0.6105148083781489,0.6114917113998309,-0.000976903021682074,0.0,False,True,regress>noise
wta,sackmann,Hard,wta/sackmann/Hard,xgb_baseline,0.6122339839189298,0.614425736844064,-0.0021917529251341827,0.011952016,False,False,within_noise
wta,sackmann,Clay,wta/sackmann/Clay,logit_baseline,0.5892394901442077,0.5887610772943569,0.00047841284985084,0.0,True,False,improve>=noise
wta,sackmann,Clay,wta/sackmann/Clay,xgb_baseline,0.6019716089675782,0.6035818606311261,-0.0016102516635478903,0.001888159,False,False,within_noise
wta,sackmann,Grass,wta/sackmann/Grass,logit_baseline,0.6534081034103071,0.6570929073783726,-0.0036848039680654754,0.0,False,True,regress>noise
wta,sackmann,Grass,wta/sackmann/Grass,xgb_baseline,0.6352518745941637,0.6328437264900119,0.002408148104151797,0.003612832,False,False,within_noise
